;Company;Symbol;ISIN;WKN
405;IS.S.E.600 FIN.S.U.ETF A.;EXH2;DE000A0H08G5;000A0H08G
406;IS.S.E.600 FO.+B.U.ETF A.;EXH3;DE000A0H08H3;000A0H08H
407;IS.S.E.600 I.G+S.U.ETF A.;EXH4;DE000A0H08J9;000A0H08J
408;IS.S.E.600 INSUR.U.ETF A.;EXH5;DE000A0H08K7;000A0H08K
409;IS.S.E.600 MEDIA U.ETF A.;EXH6;DE000A0H08L5;000A0H08L
410;IS.S.E.600 OIL+G.U.ETF A.;EXH1;DE000A0H08M3;000A0H08M
411;ISH.S.E.600 P+HG U.ETF A.;EXH7;DE000A0H08N1;000A0H08N
412;ISH.S.EU.600 RET.U.ETF A.;EXH8;DE000A0H08P6;000A0H08P
413;ISH.S.EU.600 TEC.U.ETF A.;EXV3;DE000A0H08Q4;000A0H08Q
414;ISH.S.EU.600 TEL.U.ETF A.;EXV2;DE000A0H08R2;000A0H08R
415;ISH.S.EU.600 T+L U.ETF A.;EXV9;DE000A0H08S0;000A0H08S
416;MVV ENERGIE AG NA O.N.;MVV1;DE000A0H52F5;000A0H52F
417;MAGFORCE AG;MF6;DE000A0HGQF5;000A0HGQF
418;PLAN OPTIK         O.N.;P4O;DE000A0HGQS8;000A0HGQS
419;CLIQ DIGITAL AG  O.N.;CLIQ;DE000A0HHJR3;000A0HHJR
420;2G ENERGY AG;2GB;DE000A0HL8N9;000A0HL8N
421;WESTGRUND AG;WEG1;DE000A0HN4T3;000A0HN4T
422;DEUTSCHE WOHNEN SE INH;DWNI;DE000A0HN5C6;000A0HN5C
423;INCITY IMMOBILIEN    O.N.;IC8;DE000A0HNF96;000A0HNF9
424;PNE WIND AG NA O.N.;PNE3;DE000A0JBPG2;000A0JBPG
425;DATAGROUP SE  INH. O.N.;D6H;DE000A0JC8S7;000A0JC8S
426;MYNARIC AG  INH O.N.;M0Y;DE000A0JCY11;000A0JCY1
427;AURELIUS EQ.OPP.   O.N.;AR4;DE000A0JK2A8;000A0JK2A
428;NANOGATE SE  INH. O.N.;N7G;DE000A0JKHC9;000A0JKHC
429;ITN NANOVATION;I7N;DE000A0JL461;000A0JL46
430;VERBIO VER.BIOENERGIE  ON;VBK;DE000A0JL9W6;000A0JL9W
431;BLUE CAP             O.N.;B7E;DE000A0JM2M1;000A0JM2M
432;MANZ AG;M5Z;DE000A0JQ5U3;000A0JQ5U
433;MYBET HOLDING SE NA O.N.;XMY;DE000A0JRU67;000A0JRU6
434;MUEHLHAN             O.N.;M4N;DE000A0KD0F7;000A0KD0F
435;VECTRON SYSTEMS      O.N.;V3S;DE000A0KEXC7;000A0KEXC
436;HANSEYACHTS O.N.;H9Y;DE000A0KF6M8;000A0KF6M
437;MIC AG;M3B;DE000A0KF6S5;000A0KF6S
438;ACCENTRO R.EST.AG  O.N.;E7S;DE000A0KFKB3;000A0KFKB
439;ELEXXION AG;E8X;DE000A0KFKH0;000A0KFKH
440;CYTOTOOLS          O.N.;T5O;DE000A0KFRJ1;000A0KFRJ
441;KROMI LOGISTIK  INH. O.N.;K1R;DE000A0KFUJ5;000A0KFUJ
442;SHF COMMUNICAT.TECH.;S4K;DE000A0KPMZ7;000A0KPMZ
443;NABALTEC AG INH.;NTG;DE000A0KPPR7;000A0KPPR
444;ETFS COM.SEC.DZ06/UN.HOGS;OD7J;DE000A0KRJ10;000A0KRJ1
445;ETFS COM.SEC.DZ06/UN.CATL;OD7K;DE000A0KRJ28;000A0KRJ2
446;ETFS COM.SEC.DZ06/UN.NICK;OD7M;DE000A0KRJ44;000A0KRJ4
447;ETFS COM.SEC.DZ06/UN.SOYO;OD7P;DE000A0KRJ69;000A0KRJ6
448;ETFS COM.SEC.DZ06/UN.SOYB;OD7Q;DE000A0KRJ77;000A0KRJ7
449;ETFS COM.SEC.DZ06/UN.SUGA;OD7R;DE000A0KRJ85;000A0KRJ8
450;ETFS COM.SEC.DZ06/UN.WEAT;OD7S;DE000A0KRJ93;000A0KRJ9
451;ETFS COM.SEC.DZ06/UN.ALUM;OD7A;DE000A0KRJS4;000A0KRJS
452;ETFS COM.SEC.DZ06/UN.COFF;OD7B;DE000A0KRJT2;000A0KRJT
453;ETFS COM.SEC.DZ06/UN.COPA;OD7C;DE000A0KRJU0;000A0KRJU
454;ETFS COM.SEC.DZ06/UN.CORN;OD7D;DE000A0KRJV8;000A0KRJV
455;ETFS COM.SEC.DZ06/UN.COTN;OD7E;DE000A0KRJW6;000A0KRJW
456;ETFS COM.SEC.DZ06/UN.ZINC;OD7T;DE000A0KRKA0;000A0KRKA
457;ETFS COM.SEC.DZ06/UN.IDX;OD7U;DE000A0KRKB8;000A0KRKB
458;ETFS COM.SEC.DZ06/UN.IDX;OD7V;DE000A0KRKC6;000A0KRKC
459;ETFS COM.SEC.DZ06/UN.IDX;OD7X;DE000A0KRKE2;000A0KRKE
460;ETFS COM.SEC.DZ06/UN.IDX;OD7Y;DE000A0KRKF9;000A0KRKF
461;ETFS COM.SEC.DZ06/UN.IDX;OD7Z;DE000A0KRKG7;000A0KRKG
462;ETFS COM.SEC.DZ06/UN.IDX;OD74;DE000A0KRKL7;000A0KRKL
463;MPH HEALTH CARE  INH O.N.;93M;DE000A0L1H32;000A0L1H3
464;HELIAD EQ.PARTN. NA O.N.;HPBK;DE000A0L1NN5;000A0L1NN
465;CROPENERGIES AG;CE2;DE000A0LAUP1;000A0LAUP
466;MEVIS MEDICAL SOL.NA O.N.;M3V;DE000A0LBFE4;000A0LBFE
467;UET AG   O.N.;CFC;DE000A0LBKW6;000A0LBKW
468;ALSTRIA OFFICE REIT-AG;AOX;DE000A0LD2U1;000A0LD2U
469;GERRESHEIMER AG;GXI;DE000A0LD6E6;000A0LD6E
470;HWA AG  INH.O.N.;H9W;DE000A0LR4P1;000A0LR4P
471;STEICO SE;ST5;DE000A0LR936;000A0LR93
472;M-U-T AG MESSGER.INH.O.N.;M7U;DE000A0MSN11;000A0MSN1
473;ENVITEC BIOGAS O.N.;ETG;DE000A0MVLS8;000A0MVLS
474;FAIR VALUE REIT-AG INH.ON;FVI;DE000A0MW975;000A0MW97
475;DELIGNIT AG      INH.O.N.;DLX;DE000A0MZ4B0;000A0MZ4B
476;ISH.S.EU.600 UTI.U.ETF A.;EXH9;DE000A0Q4R02;000A0Q4R0
477;ISH.S.EU.600 A+P U.ETF A.;EXV5;DE000A0Q4R28;000A0Q4R2
478;IS.S.E.600 HEA.C.U.ETF A.;EXV4;DE000A0Q4R36;000A0Q4R3
479;IS.S.E.600 R.EST.U.ETF A.;EXI5;DE000A0Q4R44;000A0Q4R4
480;I.EB.R.MONEY MARKET U.ETF;EXVM;DE000A0Q4RZ9;000A0Q4RZ
481;ETFS S-NW.GL.AG.BUS.GO DZ;ETLV;DE000A0Q8NA2;000A0Q8NA
482;ETFS DAXGL.G.MIN.GO UC.DZ;ETLX;DE000A0Q8NC8;000A0Q8NC
483;ETFS RUS.2000US S.C.GO DZ;ETLZ;DE000A0Q8NE4;000A0Q8NE
484;HAMBURG.HAFEN LOG.A-SP NA;HHFA;DE000A0S8488;000A0S848
485;MUTARES AG;MUX;DE000A0SMSH2;000A0SMSH
486;M1 KLINIKEN AG  O.N.;M12;DE000A0STSQ8;000A0STSQ
487;TOM TAILOR HLDG  NA O.N.;TTI;DE000A0STST2;000A0STST
488;ETFS COM.SEC.DZ07/UN.IDX;9GAF;DE000A0SVX34;000A0SVX3
489;ETFS COM.SEC.DZ07/UN.IDX;9GAJ;DE000A0SVX67;000A0SVX6
490;ETFS COM.SEC.DZ07/UN.IDX;9GAK;DE000A0SVX75;000A0SVX7
491;ETFS COM.SEC.DZ07/UN.IDX;9GAL;DE000A0SVX83;000A0SVX8
492;ETFS COM.SEC.DZ07/UN.IDX;9GAM;DE000A0SVX91;000A0SVX9
493;ETFS COM.SEC.DZ07/UN.IDX;9GAN;DE000A0SVYA6;000A0SVYA
494;ETFS COM.SEC.DZ07/UN.IDX;9GAP;DE000A0SVYB4;000A0SVYB
495;VARTA AG O.N.;VAR1;DE000A0TGJ55;000A0TGJ5
496;EYEMAXX R.EST.AG;BNT1;DE000A0V9L94;000A0V9L9
497;DATRON AG INH.O.N.;DAR;DE000A0V9LA7;000A0V9LA
498;ETFS COM.SEC.DZ08/UN.IDX;4RTB;DE000A0V9X25;000A0V9X2
499;ETFS COM.SEC.DZ08/UN.IDX;4RTC;DE000A0V9X33;000A0V9X3
500;ETFS COM.SEC.DZ08/UN.IDX;4RTE;DE000A0V9X58;000A0V9X5
501;ETFS COM.SEC.DZ08/UN.IDX;4RTG;DE000A0V9X74;000A0V9X7
502;ETFS COM.SEC.DZ08/UN.IDX;9GA3;DE000A0V9XU0;000A0V9XU
503;ETFS COM.SEC.DZ08/UN.IDX;4RUA;DE000A0V9Y16;000A0V9Y1
504;ETFS COM.SEC.DZ08/UN.IDX;4RUB;DE000A0V9Y24;000A0V9Y2
505;ETFS COM.SEC.DZ08/UN.IDX;4RUH;DE000A0V9Y81;000A0V9Y8
506;ETFS COM.SEC.DZ08/UN.IDX;4RTK;DE000A0V9YA0;000A0V9YA
507;ETFS COM.SEC.DZ08/UN.IDX;4RTR;DE000A0V9YG7;000A0V9YG
508;ETFS COM.SEC.DZ08/UN.IDX;4RTS;DE000A0V9YH5;000A0V9YH
509;ETFS COM.SEC.DZ08/UN.IDX;4RT2;DE000A0V9YT0;000A0V9YT
510;ETFS COM.SEC.DZ08/UN.IDX;4RT3;DE000A0V9YU8;000A0V9YU
511;ETFS COM.SEC.DZ08/UN.IDX;4RT4;DE000A0V9YV6;000A0V9YV
512;ETFS COM.SEC.DZ08/UN.IDX;4RUP;DE000A0V9ZE9;000A0V9ZE
513;ELANIX BIOTECHN.AG;ELN;DE000A0WMJQ4;000A0WMJQ
514;VAPIANO SE  INH. O.N.;VAO;DE000A0WMNK9;000A0WMNK
515;AIXTRON SE NA O.N.;AIXA;DE000A0WMPJ6;000A0WMPJ
516;DEMIRE DT.MTS.RE AG;DMRE;DE000A0XFSF0;000A0XFSF
517;SHS VIVEON AG;SHWK;DE000A0XFWK2;000A0XFWK
518;DT.ROHSTOFF AG NA O.N.;DR0;DE000A0XYG76;000A0XYG7
519;TECHNOTRANS AG NA O.N.;TTR1;DE000A0XYGA7;000A0XYGA
520;IBU-TEC ADV.MATER. INH.ON;IBU;DE000A0XYHT5;000A0XYHT
521;PSI SOFTWARE AG NA O.N.;PSAN;DE000A0Z1JH9;000A0Z1JH
522;DEAG DT.ENTERTAINM. O.N.;ERMK;DE000A0Z23G6;000A0Z23G
523;ADESSO AG  O.N.;ADN1;DE000A0Z23Q5;000A0Z23Q
524;RIB SOFTWARE SE  NA EO 1;RIB;DE000A0Z2XN6;000A0Z2XN
525;VERIANOS REAL ESTATE AG;VROS;DE000A0Z2Y48;000A0Z2Y4
526;FREENET AG NA O.N.;FNTN;DE000A0Z2ZZ5;000A0Z2ZZ
527;SLM SOLUTIONS GRP AG;AM3D;DE000A111338;000A11133
528;SOURCE-S.GS EQU.F.I.E.ADZ;SMLU;DE000A1161M1;000A1161M
529;SOURCE-S.M.US E.I.MLP ADZ;SMLP;DE000A119M34;000A119M3
530;SOURCE-S.M.US E.I.MLP BDZ;SMLD;DE000A119M42;000A119M4
531;SOURCE MK.S.JPX-N.400 ADZ;SMLN;DE000A119T29;000A119T2
532;ELUMEO SE;ELB;DE000A11Q059;000A11Q05
533;UNIDEVICE AG  INH O.N.;UDC;DE000A11QLU3;000A11QLU
534;HEIDELBERG PHARMA AG O.N.;WL6;DE000A11QVV0;000A11QVV
535;EPIGENOMICS AG NA O.N.;ECX;DE000A11QW50;000A11QW5
536;7C SOLARPARKEN AG  O.N.;HRPK;DE000A11QW68;000A11QW6
537;MYHAMMER HOLDING AG O.N.;MYRK;DE000A11QWW6;000A11QWW
538;TLG IMMOBILIEN AG;TLG;DE000A12B8Z4;000A12B8Z
539;SOU.M.-S.RBIS E.R.E.E.ADZ;REQR;DE000A12D253;000A12D25
540;SCOUT24 AG NA O.N.;G24;DE000A12DM80;000A12DM8
541;ETFS RO.GL RO.+AU.GO DZ;IROB;DE000A12GJD2;000A12GJD
542;ECOMMERCE ALLIANCE NA O.N;ECF;DE000A12UK08;000A12UK0
543;ROCKET INTERNET SE;RKET;DE000A12UKK6;000A12UKK
544;LLOYD FONDS AG;L1OA;DE000A12UP29;000A12UP2
545;NORCOM INF.TECHN.AG;NC5A;DE000A12UP37;000A12UP3
546;PANTAFLIX AG  INH. O.N.;PAL;DE000A12UPJ7;000A12UPJ
547;ETFS FOR.EXC.DZ14/UN.CUR.;JPE5;DE000A12Z306;000A12Z30
548;ETFS FOR.EXC.DZ14/UN.CUR.;5CH5;DE000A12Z314;000A12Z31
549;ETFS FOR.EXC.DZ14/UN.CUR.;5CH6;DE000A12Z322;000A12Z32
550;ETFS FOR.EXC.DZ14/UN.CUR.;SEUB;DE000A12Z3Q6;000A12Z3Q
551;ETFS FOR.EXC.DZ14/UN.CUR.;LEUB;DE000A12Z3R4;000A12Z3R
552;ETFS FOR.EXC.DZ14/UN.CUR.;5CH1;DE000A12Z3S2;000A12Z3S
553;ETFS FOR.EXC.DZ14/UN.CUR.;USBS;DE000A12Z3T0;000A12Z3T
554;ETFS FOR.EXC.DZ14/UN.CUR.;ENFX;DE000A12Z3U8;000A12Z3U
555;ETFS FOR.EXC.DZ14/UN.CUR.;5CH2;DE000A12Z3V6;000A12Z3V
556;ETFS FOR.EXC.DZ14/UN.CUR.;AUE5;DE000A12Z3W4;000A12Z3W
557;ETFS FOR.EXC.DZ14/UN.CUR.;5CH3;DE000A12Z3X2;000A12Z3X
558;ETFS FOR.EXC.DZ14/UN.CUR.;EJP5;DE000A12Z3Z7;000A12Z3Z
559;BOOST ISSUER ETP 2062;3QSS;DE000A133ZR0;000A133ZR
560;BOOST ISSUER ETP 2062;US9L;DE000A133ZS8;000A133ZS
561;BOOST ISSUER ETP 2062;US9S;DE000A133ZX8;000A133ZX
562;BOOST ISSUER ETP 2062;3QQQ;DE000A133ZY6;000A133ZY
563;DEFAMA AG;DEF;DE000A13SUL5;000A13SUL
564;HELLA GMBH+CO. KGAA O.N.;HLE;DE000A13SX22;000A13SX2
565;WILD BUNCH AG O.N.;WBAG;DE000A13SXB0;000A13SXB
566;WISDOMTREE E.A.EQ.INC.DZ;WTEA;DE000A140SG3;000A140SG
567;SOURCE-S.S+P 500 DZ;D500;DE000A141DW0;000A141DW
568;WISDOMT.GERM.EQ.U.EOA DZ;WTEZ;DE000A142K45;000A142K4
569;WISDOMTR.EUR.EQ.U.E.EOADZ;WTDF;DE000A142K52;000A142K5
570;WISDOMTR.JAP.EQ.U.E.DLHDZ;WTIF;DE000A142K60;000A142K6
571;WISDOMTR.JAP.EQ.U.E.ACCDZ;WTIZ;DE000A142K78;000A142K7
572;SS.M.II-FT.RA.E.E.I.P.ADZ;DVEU;DE000A143TJ9;000A143TJ
573;4SC AG;VSC;DE000A14KL72;000A14KL7
574;UHR.DE AG;U1D;DE000A14KN47;000A14KN4
575;GBS SOFTWARE AG;INW1;DE000A14KR27;000A14KR2
576;DT.KONSUM REIT-AG;DKG;DE000A14KRD3;000A14KRD
577;WISDOMTREE E.M.SC DIV.DZ;WTED;DE000A14ND04;000A14ND0
578;WISDOMTREE US EQ.INC.DZ;WTEU;DE000A14ND12;000A14ND1
579;WISDOMTREE US SC.DIV.DZ;WTEC;DE000A14ND20;000A14ND2
580;WISDOMTREE EUR.EQ.INC.DZ;WTEE;DE000A14ND38;000A14ND3
581;WISDOMTREE EUR.SC.DIV.DZ;WTES;DE000A14ND46;000A14ND4
582;WISDOMTREE E.M.EQ.INC.DZ;WTEI;DE000A14NDZ0;000A14NDZ
583;WISDOMTR.JAP.EQ.U.E.DLHDZ;WTDX;DE000A14SLH0;000A14SLH
584;WISDOMTR.EUR.EQ.U.E.DLHDZ;WTDH;DE000A14SLJ6;000A14SLJ
585;ETFS LO IM G.GV.BD.AEH DZ;HCOE;DE000A14YKA5;000A14YKA
586;ETFS ISE CYBER SEC.GO DZ;USPY;DE000A14ZT85;000A14ZT8
587;ETFS FOR.EXC.DZ15/UN.CUR.;5CHE;DE000A15P0U3;000A15P0U
588;ERNST RUSS AG NA O.N.;HXCK;DE000A161077;000A16107
589;HELLOFRESH SE  INH O.N.;HFG;DE000A161408;000A16140
590;AUDEN AG   INH.EO 1;AD1;DE000A161440;000A16144
591;GRENKE AG NA O.N.;GLJ;DE000A161N30;000A161N3
592;THE NAGA GROUP AG NA O.N.;N4G;DE000A161NR7;000A161NR
593;AVES ONE AG O.N.;AVES;DE000A168114;000A16811
594;SINGULUS TECHNOL. EO 1;SNG;DE000A1681X5;000A1681X
595;SHAREHOLD.VAL.BET.NA O.N.;SVE;DE000A168205;000A16820
596;BOOST ISSUER ETP 2062;0LJG;DE000A18HC66;000A18HC6
597;BOOST ISSUER ETP 2062;0LJH;DE000A18HC74;000A18HC7
598;BOOST ISSUER ETP 2062;0LJI;DE000A18HC82;000A18HC8
599;BOOST ISSUER ETP 62;0LJJ;DE000A18HC90;000A18HC9
600;KPS AG NA O.N.;KSC;DE000A1A6V48;000A1A6V4
601;DOCCHECK AG NA O.N.;AJ91;DE000A1A6WE6;000A1A6WE
602;HSBC FTSE 100 UC. ETF DZ;H4ZB;DE000A1C0BC5;000A1C0BC
603;HSBC MSCI JP UCITS ETF DZ;H4ZC;DE000A1C0BD3;000A1C0BD
604;HSBC MSCI USA UCITS ETFDZ;H4ZD;DE000A1C22K7;000A1C22K
605;HSBC MSCI EUR. UC. ETF DZ;H4ZE;DE000A1C22L5;000A1C22L
606;HSBC S+P 500 UCITS ETF DZ;H4ZF;DE000A1C22M3;000A1C22M
607;HSBC MSCI BRAZ.UC.ETF DZ;H4ZG;DE000A1C22N1;000A1C22N
608;HSBC MSCI P.XJP UC.ETF DZ;H4ZH;DE000A1C22P6;000A1C22P
609;HSBC MSCI EM F.E.UC.ETFDZ;H4ZI;DE000A1C22Q4;000A1C22Q
610;HSBC MSCI WORLD UC.ETF DZ;H4ZJ;DE000A1C9KL8;000A1C9KL
611;ETFS L.DAT.ALL.COMM.GO DZ;ETL2;DE000A1CXBV8;000A1CXBV
612;BRENNTAG AG NA O.N.;BNR;DE000A1DAHH0;000A1DAHH
613;ETFS FOR.EXC.DZ09/UN.CUR.;XBJA;DE000A1DFSA1;000A1DFSA
614;ETFS FOR.EXC.DZ10/UN.CUR.;SCHE;DE000A1DFSB9;000A1DFSB
615;ETFS FOR.EXC.DZ10/UN.CUR.;SJPS;DE000A1DFSE3;000A1DFSE
616;ETFS FOR.EXC.DZ10/UN.CUR.;SJPL;DE000A1DFSF0;000A1DFSF
617;ETFS FOR.EXC.DZ10/UN.CUR.;LNOE;DE000A1DFSG8;000A1DFSG
618;ETFS FOR.EXC.DZ10/UN.CUR.;XBJD;DE000A1DFSJ2;000A1DFSJ
619;ETFS FOR.EXC.DZ10/UN.CUR.;XBJE;DE000A1EK0K5;000A1EK0K
620;ETFS FOR.EXC.DZ10/UN.CUR.;XBJF;DE000A1EK0L3;000A1EK0L
621;ETFS FOR.EXC.DZ10/UN.CUR.;XBJG;DE000A1EK0M1;000A1EK0M
622;ETFS FOR.EXC.DZ10/UN.CUR.;XBJH;DE000A1EK0N9;000A1EK0N
623;ETFS FOR.EXC.DZ10/UN.CUR.;XBJJ;DE000A1EK0P4;000A1EK0P
624;ETFS FOR.EXC.DZ10/UN.CUR.;XBJL;DE000A1EK0R0;000A1EK0R
625;ETFS FOR.EXC.DZ10/UN.CUR.;XBJP;DE000A1EK0V2;000A1EK0V
626;ETFS FOR.EXC.DZ10/UN.CUR.;XBJQ;DE000A1EK0W0;000A1EK0W
627;SPORTTOTAL AG  INH. O.N.;WIG1;DE000A1EMG56;000A1EMG5
628;TONKENS AGRAR AG;GTK;DE000A1EMHE0;000A1EMHE
629;FORMYCON AG;FYB;DE000A1EWVY8;000A1EWVY
630;ADIDAS AG NA O.N.;ADS;DE000A1EWWW0;000A1EWWW
631;HSBC MSCI TR UC. ETF DZ;H4ZK;DE000A1H49V6;000A1H49V
632;WILLIAMS G.P.HLD.LS-05 DZ;WGF1;DE000A1H6VM4;000A1H6VM
633;NORMA GROUP SE NA O.N.;NOEJ;DE000A1H8BV3;000A1H8BV
634;ADLER MODEMAERKTE AG O.N.;ADD;DE000A1H8MU2;000A1H8MU
635;TELEFONICA DTLD HLDG NA;O2D;DE000A1J5RX9;000A1J5RX
636;SHW AG;SW1;DE000A1JBPV9;000A1JBPV
637;HSBC S+P BRIC 40 UC.ETFDZ;H4ZN;DE000A1JF7K2;000A1JF7K
638;HSBC MSCI CHINA U. ETF DZ;H4ZP;DE000A1JF7L0;000A1JF7L
639;HSBC MSCI ZA UC. ETF DZ;H4ZQ;DE000A1JF7M8;000A1JF7M
640;HSBC MSCI CANADA U.ETF DZ;H4ZR;DE000A1JF7N6;000A1JF7N
641;HSBC MSCI MEX.CAP.U.ETFDZ;H4ZS;DE000A1JF7P1;000A1JF7P
642;HSBC MSCI INDON.UC.ETF DZ;H4ZT;DE000A1JF7Q9;000A1JF7Q
643;HSBC MSCI TAIWAN UC.ETFDZ;H4ZU;DE000A1JF7R7;000A1JF7R
644;HSBC MSCI MALAY.UC.ETF DZ;H4ZV;DE000A1JF7S5;000A1JF7S
645;HSBC MSCI EM L.A.U.ETF DZ;H4ZW;DE000A1JF7T3;000A1JF7T
646;SOURCE-S.S+P 500 DZ;P500;DE000A1JM6F5;000A1JM6F
647;SOURCE MKTS-S.MSCI EM ADZ;EMSM;DE000A1JM6G3;000A1JM6G
648;HSBC MSCI KOREA UC.ETF DZ;H4Z9;DE000A1JXC60;000A1JXC6
649;HSBC FTSE E./N.D.U.ETF DZ;H4ZL;DE000A1JXC78;000A1JXC7
650;HSBC MSCI RU CAP.UC.ETFDZ;H4ZM;DE000A1JXC86;000A1JXC8
651;HSBC MSCI EM UC. ETF DZ;H410;DE000A1JXC94;000A1JXC9
652;GESCO AG NA O.N.;GSC1;DE000A1K0201;000A1K020
653;CO.DON AG   INH. O.N.;CNWK;DE000A1K0227;000A1K022
654;SUESS MICROTEC SE NA O.N.;SMHN;DE000A1K0235;000A1K023
655;EUROMICRON AG NA O.N.;EUCA;DE000A1K0300;000A1K030
656;ARTNET AG NA O.N.;ART;DE000A1K0375;000A1K037
657;STARAMBA SE  O.N.;99SC;DE000A1K03W5;000A1K03W
658;PFERDEWETTEN.DE AG;EMH1;DE000A1K0409;000A1K040
659;VONOVIA SE NA O.N.;VNA;DE000A1ML7J1;000A1ML7J
660;MEDIOS AG  O.N.;ILM1;DE000A1MMCC8;000A1MMCC
661;MAIER + PARTNER O.N.;MPRK;DE000A1MMCY2;000A1MMCY
662;GERM.STARTUPS GRP NA O.N.;GSJ;DE000A1MMEV4;000A1MMEV
663;ETFS H.COM.SEC.Z12/UN.IDX;00XJ;DE000A1NZLJ4;000A1NZLJ
664;ETFS H.COM.SEC.Z12/UN.IDX;00XK;DE000A1NZLK2;000A1NZLK
665;ETFS H.COM.SEC.Z12/UN.IDX;00XL;DE000A1NZLL0;000A1NZLL
666;ETFS H.COM.SEC.Z12/UN.IDX;00XS;DE000A1NZLS5;000A1NZLS
667;SCY BETEILIG.AG  O.N.;CSY;DE000A1PG508;000A1PG50
668;R. STAHL AG NA O.N.;RSL2;DE000A1PHBB5;000A1PHBB
669;HUGO BOSS AG NA O.N.;BOSS;DE000A1PHFF7;000A1PHFF
670;PANAMAX AG;ICP;DE000A1R1C81;000A1R1C8
671;SYGNIS AG;LIO1;DE000A1RFM03;000A1RFM0
672;RCM BETEILIGUNGS NA. O.N.;RCMN;DE000A1RFMY4;000A1RFMY
673;SM WIRTSCHAFTSBER.NA.O.N.;SMWN;DE000A1RFMZ1;000A1RFMZ
674;ETFS COM.SEC.Z12/UN.INDEX;OOEC;DE000A1RX1P2;000A1RX1P
675;A.S.CREATION TAPETEN NA;ACWN;DE000A1TNNN5;000A1TNNN
676;DT.BETEILIG.AG   NA O.N.;DBAN;DE000A1TNUT7;000A1TNUT
677;BITCOIN GROUP SE  O.N.;ADE;DE000A1TNV91;000A1TNV9
678;MPC MUENCH.PET.CAP.;MPCK;DE000A1TNWJ4;000A1TNWJ
679;BOOST ISSUER 3XSH.DZ13/62;3DES;DE000A1VFZ36;000A1VFZ3
680;BOOST ISSUER 3LEV DZ13/62;3DEL;DE000A1VFZ44;000A1VFZ4
681;BOOST ISSUER 3S.ESTX13/62;PCFC;DE000A1VFZ51;000A1VFZ5
682;BOOST ISSUER 3L.ESTX13/62;PCFD;DE000A1VFZ69;000A1VFZ6
683;HSBC MSCI AC FE XJU.ETFDZ;H411;DE000A1W2EK4;000A1W2EK
684;MEDIGENE AG NA O.N.;MDG1;DE000A1X3W00;000A1X3W0
685;WCM BET.GRD.AG  O.N.;WCMK;DE000A1X3X33;000A1X3X3
686;DIC ASSET AG NA O.N.;DIC;DE000A1X3XX4;000A1X3XX
687;BASTEI LUEBBE AG  O.N.;BST;DE000A1X3YY0;000A1X3YY
688;ETFS US EN.INF.MLP GO DZ;XMLP;DE000A1XE2Q3;000A1XE2Q
689;ETFS-E F.MSCI CH.A GO DZ;CASH;DE000A1XEFE1;000A1XEFE
690;SOURCE-S.GS EQU.F.I.W.ADZ;SMLW;DE000A1XES75;000A1XES7
691;S.CSOP M.-FTS.C.A50 U.ADZ;SMLC;DE000A1XES83;000A1XES8
692;SENDR SE NA O.N.;SD1;DE000A1YDAZ7;000A1YDAZ
693;DECHENG TECHNOLOGY AG;333;DE000A1YDDM9;000A1YDDM
694;ETFS EQ.SEC.DZ/UNDATED;GY3L;DE000A1YKTG2;000A1YKTG
695;ETFS EQ.SEC.DZ/UNDATED;EUL3;DE000A1YKTH0;000A1YKTH
696;ETFS EQ.SEC.DZ/UNDATED;GY3S;DE000A1YKTK4;000A1YKTK
697;ETFS EQ.SEC.DZ/UNDATED;UES3;DE000A1YKTL2;000A1YKTL
698;BOOST ISSUER 3S.BNDZ14/62;SBU3;DE000A1ZLZB5;000A1ZLZB
699;BOOST ISSUER 3S.TRES14/62;TY3S;DE000A1ZLZC3;000A1ZLZC
700;DF DT.FORFAIT AG  NA O.N.;DFTK;DE000A2AA204;000A2AA20
701;SEVEN PRINCIPLES AG O.N.;T3T1;DE000A2AAA75;000A2AAA7
702;INNOGY SE  INH. O.N.;IGY;DE000A2AADD2;000A2AADD
703;WISDOMTR.ENH.CO.U.E.DLADZ;WTIC;DE000A2AE1R9;000A2AE1R
704;FIR.T.G.-GER.ALPHD.AEO DZ;FTGG;DE000A2AEM85;000A2AEM8
705;SOURCE M.-S.GPR R.E.E.ADZ;REES;DE000A2AFS54;000A2AFS5
706;WISDOMTR.US QU.DV.GR.DADZ;WTDM;DE000A2AGPX1;000A2AGPX
707;WISDOMTR.GL.Q.DV.GR.DLADZ;WTEM;DE000A2AHL75;000A2AHL7
708;WISDOMTR.EO.QU.DV.GR.EADZ;WTIM;DE000A2AHL91;000A2AHL9
709;WISDOMTR.EUR.SC.DIV.EOADZ;WTD7;DE000A2ARXE2;000A2ARXE
710;WISDOMTR.E.M.EQ.INC.DLADZ;WTD8;DE000A2ARXF9;000A2ARXF
711;WISDOMTR.US EQ.INC.DLADL;WTD9;DE000A2ARXG7;000A2ARXG
712;WISDOMTR.US EQ.INC.EOHADZ;WTDY;DE000A2AS9T2;000A2AS9T
713;ETFS COM.SEC.DZ08/UN.IDX;4RUJ;DE000A2BDEA8;000A2BDEA
714;ETFS COM.SEC.DZ08/UN.IDX;4RUD;DE000A2BDEC4;000A2BDEC
715;BOOST ISSUER ETP Z 2062;VIXL;DE000A2BGQ13;000A2BGQ1
